"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"00705","STANDARD","AIBONITO","PR","PRIMARY",18.14,-66.26,"NA-US-PR-AIBONITO","false",,,
"00610","STANDARD","ANASCO","PR","PRIMARY",18.28,-67.14,"NA-US-PR-ANASCO","false",,,
"00611","PO BOX","ANGELES","PR","PRIMARY",18.28,-66.79,"NA-US-PR-ANGELES","false",,,
"00612","STANDARD","ARECIBO","PR","PRIMARY",18.45,-66.73,"NA-US-PR-ARECIBO","false",,,
"00601","STANDARD","ADJUNTAS","PR","PRIMARY",18.16,-66.72,"NA-US-PR-ADJUNTAS","false",,,
"00631","PO BOX","CASTANER","PR","PRIMARY",18.19,-66.82,"NA-US-PR-CASTANER","false",,,
"00602","STANDARD","AGUADA","PR","PRIMARY",18.38,-67.18,"NA-US-PR-AGUADA","false",,,
"00603","STANDARD","AGUADILLA","PR","PRIMARY",18.43,-67.15,"NA-US-PR-AGUADILLA","false",,,
"00604","PO BOX","AGUADILLA","PR","PRIMARY",18.43,-67.15,"NA-US-PR-AGUADILLA","false",,,
"00605","PO BOX","AGUADILLA","PR","PRIMARY",18.43,-67.15,"NA-US-PR-AGUADILLA","false",,,
"00703","STANDARD","AGUAS BUENAS","PR","PRIMARY",18.25,-66.10,"NA-US-PR-AGUAS BUENAS","false",,,
"00704","STANDARD","AGUIRRE","PR","PRIMARY",17.96,-66.22,"NA-US-PR-AGUIRRE","false",,,
"07675","STANDARD","WESTWOOD","NJ","PRIMARY",40.98,-74.03,"NA-US-NJ-WESTWOOD","false",13245,24083,1089095041
"07677","STANDARD","WOODCLIFF LAKE","NJ","PRIMARY",41.02,-74.05,"NA-US-NJ-WOODCLIFF LAKE","false",2945,5471,325436960
"07885","STANDARD","WHARTON","NJ","PRIMARY",40.89,-74.58,"NA-US-NJ-WHARTON","false",5273,8999,240827990
"07981","STANDARD","WHIPPANY","NJ","PRIMARY",40.82,-74.41,"NA-US-NJ-WHIPPANY","false",4585,8057,292096795
"07999","STANDARD","WHIPPANY","NJ","PRIMARY",40.82,-74.41,"NA-US-NJ-WHIPPANY","false",,,
"08888","PO BOX","WHITEHOUSE","NJ","PRIMARY",40.62,-74.76,"NA-US-NJ-WHITEHOUSE","false",,,
